鄂州 12790922.02,3532803.47;12790922.02,3532803.47 14 122
恩施 12188027.99,3520529.34;12188027.99,3520529.34 14 2236
黄冈 12788396.71,3540883.04;12788396.71,3540883.04 14 271
黄石 12806938.39,3508277.50;12806938.39,3508277.50 13 311
荆门 12490833.21,3615941.94;12490833.21,3615941.94 13 217
荆州 12495439.29,3525625.36;12495439.29,3525625.36 12 157
潜江 12568749.94,3534230.23;12568749.94,3534230.23 13 1293
神农架林区 12321207.15,3707909.18;12321207.15,3707909.18 0 2734
十堰 12334839.13,3823706.01;12334839.13,3823706.01 13 216
随州 12622551.03,3700859.50;12622551.03,3700859.50 13 371
天门 12598447.64,3567933.36;12598447.64,3567933.36 13 2654
仙桃 12630568.17,3529165.12;12630568.17,3529165.12 13 1713
咸宁 12727180.88,3462453.84;12727180.88,3462453.84 13 362
襄阳 12482288.95,3742391.44;12482288.95,3742391.44 12 156
孝感 12681984.12,3601589.77;12681984.12,3601589.77 13 310
宜昌 12389211.61,3571525.49;12389211.61,3571525.49 13 270
长沙 12573153.72,3258106.27;12573153.72,3258106.27 12 158
常德 12435078.36,3359518.80;12435078.36,3359518.80 12 219
郴州 12581611.69,2952702.15;12581611.69,2952702.15 13 275
衡阳 12532306.19,3091415.96;12532306.19,3091415.96 13 159
怀化 12246180.68,3175610.61;12246180.68,3175610.61 13 363
娄底 12468039.04,3191559.74;12468039.04,3191559.74 13 221
邵阳 12409378.80,3134396.59;12409378.80,3134396.59 13 273
湘潭 12573737.27,3208160.51;12573737.27,3208160.51 13 313
湘西州 12216946.85,3268596.37;12216946.85,3268596.37 14 274
益阳 12508180.74,3299125.22;12508180.74,3299125.22 13 272
永州 12425472.43,3032826.28;12425472.43,3032826.28 13 314
岳阳 12594343.16,3400819.46;12594343.16,3400819.46 13 220
张家界 12299259.42,3370258.68;12299259.42,3370258.68 13 312
株洲 12594872.22,3207895.87;12594872.22,3207895.87 13 222
南京 13225221.26,3748918.53;13225221.26,3748918.53 12 315
常州 13356273.65,3716551.52;13356273.65,3716551.52 12 348
淮安 13249660.33,3953517.97;13249660.33,3953517.97 12 162
连云港 13272719.50,4085481.95;13272719.50,4085481.95 12 347
南通 13458706.40,3738531.15;13458706.40,3738531.15 12 161
苏州 13424120.33,3649961.01;13424120.33,3649961.01 12 224
宿迁 13167242.19,4000369.45;13167242.19,4000369.45 13 277
泰州 13350927.27,3800858.64;13350927.27,3800858.64 13 276
无锡 13393990.44,3674896.25;13393990.44,3674896.25 12 317
徐州 13057066.72,4032808.36;13057066.72,4032808.36 12 316
盐城 13377206.96,3918849.25;13377206.96,3918849.25 12 223
扬州 13293818.84,3792807.67;13293818.84,3792807.67 13 346
镇江 13295197.79,3766049.16;13295197.79,3766049.16 13 160
南昌 12898120.55,3315255.29;12898120.55,3315255.29 12 163
抚州 12953792.01,3222913.63;12953792.01,3222913.63 13 226
赣州 12795341.80,2960138.22;12795341.80,2960138.22 13 365
吉安 12801910.76,3118785.97;12801910.76,3118785.97 13 318
景德镇 13045112.76,3389524.55;13045112.76,3389524.55 12 225
九江 12914091.23,3445126.01;12914091.23,3445126.01 13 349
萍乡 12675060.82,3182279.84;12675060.82,3182279.84 13 350
上饶 13130279.90,3286654.94;13130279.90,3286654.94 13 364
新余 12793382.98,3206619.16;12793382.98,3206619.16 13 164
宜春 12737613.38,3206187.04;12737613.38,3206187.04 13 278
鹰潭 13032956.34,3262117.26;13032956.34,3262117.26 13 279
长春 13951842.48,5408037.28;13951842.48,5408037.28 12 53
